Call number,CONTENTdm number,Item number,Reference URL
NAU.PH.2004.11.3.87,2365,117667,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/2365
NAU.PH.2006.13.21,2376,66902,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/2376
NAU.PH.99.53.2.28,2440,5919,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/2440
NAU.PH.658.410,2673,610,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/2673
NAU.PH.85.3.47.27,3160,4736,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/3160
NAU.PH.92.8.102,3257,4826,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/3257
NAU.PH.85.3.115.139,3323,4903,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/3323
NAU.PH.85.3.51.275,3372,4955,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/3372
NAU.PH.226.510,3809,4473,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/3809
NAU.PH.2006.13.52,4301,66986,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4301
NAU.PH.2006.13.54,4312,66989,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4312
NAU.PH.2006.13.55,4323,66992,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4323
NAU.PH.2006.13.36,4356,66953,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4356
NAU.PH.2006.13.38,4367,66957,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4367
NAU.PH.2006.13.51,4378,66984,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4378
NAU.PH.2006.13.26,4389,66909,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4389
NAU.PH.2006.13.27,4400,66910,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4400
NAU.PH.2006.13.34,4411,66949,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4411
NAU.PH.2006.13.33,4422,66938,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4422
NAU.PH.2006.13.37,4433,66955,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4433
NAU.PH.2006.13.35,4444,66950,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4444
NAU.PH.2006.13.25,4455,66908,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4455
NAU.PH.2006.13.24,4466,66907,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4466
NAU.PH.2006.13.23,4477,66906,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4477
NAU.PH.2006.13.28,4488,66933,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4488
NAU.PH.2004.11.2.447,4565,66529,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4565
NAU.PH.85.3.211.196,4576,59790,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4576
NAU.PH.2004.11.3.40,4631,55623,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4631
NAU.PH.2004.11.3.41,4642,55625,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4642
NAU.PH.2004.11.3.42,4719,55626,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4719
NAU.PH.2004.11.3.66,4777,55644,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4777
NAU.PH.2004.11.3.63,4778,55645,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4778
NAU.PH.2004.11.3.69,4779,55646,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4779
NAU.PH.2004.11.3.71,4780,55647,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/4780
NAU.PH.412.5.9,5386,2527,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/5386
NAU.PH.85.3.11.227,5424,2567,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/5424
NAU.PH.85.3.34.168,5460,2589,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/5460
NAU.PH.85.3.12.159,5463,2628,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/5463
NAU.PH.L85.3.12.162,5493,2627,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/5493
NAU.PH.85.3.34.181,5543,2714,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/5543
NAU.PH.85.3.34.183,5552,2715,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/5552
NAU.PH.85.3.0N.195,5569,2726,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/5569
NAU.PH.85.3.14.181,6092,2163,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/6092
